NOME DO INDICADOR;REGIÃO;PERÍODO;RESULTADO
População total;Água Rasa(Distrito);2019;82.846
População total;Alto de Pinheiros(Distrito);2019;41.191
População total;Anhanguera(Distrito);2019;82.976
População total;Aricanduva(Distrito);2019;86.184
População total;Artur Alvim(Distrito);2019;100.887
População total;Barra Funda(Distrito);2019;15.927
População total;Bela Vista(Distrito);2019;72.925
População total;Belém(Distrito);2019;48.850
População total;Bom Retiro(Distrito);2019;38.449
População total;Brás(Distrito);2019;32.711
População total;Brasilândia(Distrito);2019;280.278
População total;Butantã(Distrito);2019;53.904
População total;Cachoeirinha(Distrito);2019;146.039
População total;Cambuci(Distrito);2019;40.357
População total;Campo Belo(Distrito);2019;63.962
População total;Campo Grande(Distrito);2019;106.227
População total;Campo Limpo(Distrito);2019;227.235
População total;Cangaíba(Distrito);2019;137.923
População total;Capão Redondo(Distrito);2019;293.651
População total;Carrão(Distrito);2019;84.831
População total;Casa Verde(Distrito);2019;86.007
População total;Cidade Ademar(Distrito);2019;283.949
População total;Cidade Dutra(Distrito);2019;202.297
População total;Cidade Líder(Distrito);2019;134.425
População total;Cidade Tiradentes(Distrito);2019;233.110
População total;Consolação(Distrito);2019;57.421
População total;Cursino(Distrito);2019;113.347
População total;Ermelino Matarazzo(Distrito);2019;118.268
População total;Freguesia do Ó(Distrito);2019;140.324
População total;Grajaú(Distrito);2019;387.148
População total;Guaianases(Distrito);2019;109.089
População total;Iguatemi(Distrito);2019;147.514
População total;Ipiranga(Distrito);2019;111.744
População total;Itaim Bibi(Distrito);2019;96.896
População total;Itaim Paulista(Distrito);2019;233.767
População total;Itaquera(Distrito);2019;210.858
População total;Jabaquara(Distrito);2019;228.815
População total;Jaçanã(Distrito);2019;24.042
População total;Jaguara(Distrito);2019;54.697
População total;Jaguaré(Distrito);2019;210.217
População total;Jaraguá(Distrito);2019;334.057
População total;Jardim Ângela(Distrito);2019;135.358
População total;Jardim Helena(Distrito);2019;90.588
População total;Jardim Paulista(Distrito);2019;291.198
População total;Jardim São Luís(Distrito);2019;95.934
População total;José Bonifácio(Distrito);2019;135.461
População total;Lajeado(Distrito);2019;173.469
População total;Lapa(Distrito);2019;67.118
População total;Liberdade(Distrito);2019;72.503
População total;Limão(Distrito);2019;79.613
População total;Mandaqui(Distrito);2019;109.131
População total;Marsilac(Distrito);2019;8.398
População total;Moema(Distrito);2019;88.949
População total;Moóca(Distrito);2019;79.997
População total;Morumbi(Distrito);2019;52.416
População total;Parelheiros(Distrito);2019;151.339
População total;Pari(Distrito);2019;18.910
População total;Parque do Carmo(Distrito);2019;71.418
População total;Pedreira(Distrito);2019;159.325
População total;Penha(Distrito);2019;129.042
População total;Perdizes(Distrito);2019;114.552
População total;Perus(Distrito);2019;88.387
População total;Pinheiros(Distrito);2019;65.895
População total;Pirituba(Distrito);2019;170.940
População total;Ponte Rasa(Distrito);2019;90.145
População total;Raposo Tavares(Distrito);2019;106.735
População total;República(Distrito);2019;61.478
População total;Rio Pequeno(Distrito);2019;123.238
População total;Sacomã(Distrito);2019;262.193
População total;Santa Cecília(Distrito);2019;88.170
População total;Santana(Distrito);2019;113.729
População total;Santo Amaro(Distrito);2019;74.294
População total;São Domingos(Distrito);2019;86.258
População total;São Lucas(Distrito);2019;142.953
População total;São Mateus(Distrito);2019;155.289
População total;São Miguel(Distrito);2019;89.364
População total;São Rafael(Distrito);2019;158.143
População total;Sapopemba(Distrito);2019;289.284
População total;Saúde(Distrito);2019;133.944
População total;Sé(Distrito);2019;26.423
População total;Socorro(Distrito);2019;36.194
População total;Tatuapé(Distrito);2019;95.705
População total;Tremembé(Distrito);2019;221.051
População total;Tucuruvi(Distrito);2019;96.608
População total;Vila Andrade(Distrito);2019;160.173
População total;Vila Curuçá(Distrito);2019;152.967
População total;Vila Formosa(Distrito);2019;94.205
População total;Vila Guilherme(Distrito);2019;56.846
População total;Vila Jacuí(Distrito);2019;145.443
População total;Vila Leopoldina(Distrito);2019;44.643
População total;Vila Maria(Distrito);2019;113.931
População total;Vila Mariana(Distrito);2019;132.122
População total;Vila Matilde(Distrito);2019;105.550
População total;Vila Medeiros(Distrito);2019;123.979
População total;Vila Prudente(Distrito);2019;104.668
População total;Vila Sônia(Distrito);2019;120.505
